,value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
41,25513,id,34634,id_1,34635,id_2,Источник: Якунин озвучил свою месячную зарплату в 4 миллиона рублей,text_1,Якунин назвал размер своей зарплаты,text_2,0,class
47,25522,id,34650,id_1,34651,id_2,"Николич: Сербия не говорила о нежелании строить ""Турецкий поток""",text_1,Президент Сербии опроверг свои слова об отказе строить «Турецкий поток»,text_2,0,class
61,25537,id,34670,id_1,34671,id_2,Аваков уволил 15 руководителей МВД Украины в рамках закона о люстрации,text_1,Аваков уволил 15 региональных руководителей МВД Украины,text_2,0,class
62,25538,id,34672,id_1,34673,id_2,Бывший ядерщик обвинен в США за попытку кражи данных о ядерном оружии,text_1,Бывший ядерщик обвинен в США за попытку кражи информации о ядерном оружии,text_2,0,class
63,25539,id,34673,id_1,34674,id_2,Бывший ядерщик обвинен в США за попытку кражи информации о ядерном оружии,text_1,Бывший американский чиновник обвинен в попытке кражи ядерных секретов,text_2,0,class
64,25540,id,34672,id_1,34674,id_2,Бывший ядерщик обвинен в США за попытку кражи данных о ядерном оружии,text_1,Бывший американский чиновник обвинен в попытке кражи ядерных секретов,text_2,0,class
68,25544,id,34679,id_1,34680,id_2,КНДР провела испытательный подводный пуск баллистической ракеты,text_1,КНДР сообщила о пробном запуске баллистической ракеты с подлодки,text_2,0,class
74,25552,id,34685,id_1,34686,id_2,"Принц Чарльз надеется, что внучка будет заботиться о нем в старости",text_1,Принц Чарльз: Внучка будет заботиться обо мне,text_2,0,class
75,25553,id,34687,id_1,34688,id_2,Апакан призвал стороны украинского конфликта соблюдать перемирие 9 мая,text_1,В ОБСЕ призвали к миру на Украине 9 Мая,text_2,0,class
77,25556,id,34693,id_1,34694,id_2,Вице-президент Гватемалы ушла в отставку из-за коррупционного скандала,text_1,Вице-президент Гватемалы оставит свой пост из-за скандала,text_2,0,class
85,25564,id,34705,id_1,34704,id_2,Дачич призвал стороны на Украине отметить 70-летие Победы в духе мира,text_1,ОБСЕ призвала стороны конфликта на Украине к миру 9 мая,text_2,0,class
87,25567,id,34708,id_1,34709,id_2,СМИ: США планируют разместить конвертопланы Osprey в пригороде Токио,text_1,Пентагон решил разместить в пригороде Токио десять конвертопланов,text_2,0,class
89,25569,id,34689,id_1,34710,id_2,"СМИ: полиция США ищет неизвестных, укравших одежду Деми Мур",text_1,У Деми Мур украли одежду на 200 тысяч долларов,text_2,0,class
91,25571,id,34713,id_1,34714,id_2,Кадыров: Чечня доставила в Донбасс крупную партию гуманитарной помощи,text_1,Чечня отправила в Донбасс 150 тонн гуманитарной помощи,text_2,0,class
92,25573,id,34717,id_1,34718,id_2,Российские самолеты пролетели над Бишкеком в ходе парада Победы,text_1,Самолеты ВВС России приняли участие в Параде Победы в Бишкеке,text_2,0,class
98,25581,id,34726,id_1,34724,id_2,Боевики-маоисты взяли в заложники 200 человек в одном из штатов Индии,text_1,В Индии маоисты захватили в заложники 500 человек,text_2,0,class
99,25582,id,34727,id_1,34728,id_2,Парад Победы на Красной площади. Онлайн-трансляция,text_1,В Москве начался Парад Победы,text_2,0,class
109,25593,id,34744,id_1,34745,id_2,Рябков: договоренности о приезде Керри на переговоры с Лавровым нет,text_1,МИД РФ: Договоренности о встречи Керри с Лавровым на сегодня нет,text_2,0,class
114,25599,id,34749,id_1,34751,id_2,Греф: Сбербанк с 15 мая снизит ставки по кредитам и депозитам,text_1,Сбербанк на следующей неделе снизит ставки по кредитам и депозитам,text_2,0,class
115,25600,id,34752,id_1,34753,id_2,"Порошенко заявил, что УПА стала ""другим фронтом"" борьбы с фашизмом",text_1,Порошенко назвал УПА «другим фронтом» борьбы с фашизмом,text_2,0,class
121,25606,id,34760,id_1,34756,id_2,Президент Египта прибыл в Москву на торжества в честь 70-летия Победы,text_1,Стивен Сигал посетил военный парад в честь 70-летия Победы в Москве,text_2,0,class
126,25611,id,34765,id_1,34764,id_2,Москаль: праздничные мероприятия проходят без инцидентов,text_1,Праздничные мероприятия в Донецке прошли без происшествий,text_2,0,class
133,25618,id,34739,id_1,34772,id_2,Путин участвует в возложении цветов к могиле Неизвестного солдата,text_1,Владимир Путин возложил цветы к Могиле Неизвестного Солдата,text_2,0,class
135,25620,id,34774,id_1,34775,id_2,Путин: Россия и Египет будут развивать отношения совместными усилиями,text_1,Путин: Отношения между Россией и Египтом развиваются интенсивно,text_2,0,class
137,25623,id,34779,id_1,34778,id_2,"Шествие ""Бессмертного полка"" началось в центре Москвы",text_1,На шествие «Бессмертного полка» в Москве пришли более 140 тысяч человек,text_2,0,class
138,25624,id,34780,id_1,34781,id_2,Депутат львовского облсовета сорвал с пенсионера георгиевскую ленточку,text_1,Во Львове депутат сорвал с пенсионера георгиевскую ленту,text_2,0,class
140,25626,id,34755,id_1,34783,id_2,Стивен Сигал посетил парад Победы в Москве,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,0,class
142,25628,id,34721,id_1,34783,id_2,Парад в честь Дня Победы проходит в Донецке,text_1,Парад Победы в Донецке посетили 40 тысяч человек,text_2,0,class
143,25629,id,34785,id_1,34786,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,Самолет Airbus A400M упал на завод Coca-Cola в испанской Севилье,text_2,0,class
144,25631,id,34785,id_1,34788,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,Военный самолет упал на завод Coca-Cola в испанской Севилье,text_2,0,class
145,25633,id,34790,id_1,34791,id_2,"Сотни человек приняли участие в акции ""Бессмертный полк"" в Риге",text_1,Более 250 тысяч человек собрались на акции «Бессмертный полк»,text_2,0,class
146,25634,id,34777,id_1,34791,id_2,"На шествие ""Бессмертного полка"" в Москве собрались 100 тысяч человек",text_1,Более 250 тысяч человек собрались на акции «Бессмертный полк»,text_2,0,class
148,25636,id,34793,id_1,34794,id_2,NI опубликовал список самого опасного вооружения флота России,text_1,В США опубликован топ-5 самых опасных вооружений ВМФ России,text_2,0,class
157,25645,id,34785,id_1,34803,id_2,Военный самолет упал на завод Coca-Cola в Испании. Закрыт аэропорт Севильи,text_1,В Испании военный самолет упал на завод Coca-Cola,text_2,0,class
166,25656,id,34820,id_1,34819,id_2,У памятника советским солдатам в Мадриде возложили венки,text_1,Президент Словении возложил венок к Памятнику советскому солдату,text_2,0,class
169,25659,id,34790,id_1,34823,id_2,"Сотни человек приняли участие в акции ""Бессмертный полк"" в Риге",text_1,"Более 400 тысяч москвичей приняли участие в марше ""Бессмертный полк""",text_2,0,class
174,25665,id,34814,id_1,34832,id_2,МИД Чехии: дипломат получил выговор за высказывание о пожаре в Одессе,text_1,Оправдавший сожжение людей в Одессе чешский дипломат получил выговор,text_2,0,class
175,25666,id,34761,id_1,34833,id_2,Пан Ги Мун поблагодарил Путина за организацию Парада Победы,text_1,Пан Ги Мун отметил вклад Путина в сохранение у россиян приверженности миру,text_2,0,class
180,25671,id,34828,id_1,34836,id_2,Генсек ООН: Путин заслужил любовь своего народа,text_1,Генсек ООН увидел на Дне Победы «заслуженную любовь» народа к Путину,text_2,0,class
185,25677,id,34844,id_1,34845,id_2,МВД: более 12 млн человек участвуют в мероприятиях Дня Победы в России,text_1,В праздновании Дня Победы приняли участие более 12 млн россиян,text_2,0,class
189,25681,id,34850,id_1,34851,id_2,Первая почтовая марка выпущена в ДНР в День Победы,text_1,В ДНР 9 мая выпустили почтовую марку с изображением Моторолы и Гиви,text_2,0,class
193,25685,id,34855,id_1,34856,id_2,Как Петербург отпраздновал 70-летие Победы,text_1,В Петербурге открыли Триумфальную арку Победы,text_2,0,class
194,25686,id,34845,id_1,34857,id_2,В праздновании Дня Победы приняли участие более 12 млн россиян,text_1,В акции «Бессмертный полк» участвовали 12 миллионов россиян,text_2,0,class
196,25689,id,34822,id_1,34857,id_2,"МВД: в акции ""Бессмертный полк"" в Москве участвуют 400 тысяч человек",text_1,В акции «Бессмертный полк» участвовали 12 миллионов россиян,text_2,0,class
201,25695,id,34829,id_1,34862,id_2,МВД: более 8 миллионов человек отмечают День Победы по всей России,text_1,МВД: В торжествах на День Победы участвовали 20 миллионов россиян,text_2,0,class
207,25701,id,34868,id_1,34869,id_2,На АЭС под Нью-Йорком произошел взрыв,text_1,Произошла авария на АЭС рядом с Нью-Йорком,text_2,0,class
208,25702,id,34870,id_1,34869,id_2,Возгорание произошло на АЭС в американском штате Нью-Йорк,text_1,Произошла авария на АЭС рядом с Нью-Йорком,text_2,0,class
210,25705,id,34872,id_1,34871,id_2,"Путин: где бы ни отмечали День Победы - главное, что искренне",text_1,Путин остался доволен празднованием Дня Победы в России,text_2,0,class
212,25707,id,34875,id_1,34876,id_2,Пушков назвал альянс России и Китая ответом на экспансию США и НАТО,text_1,Пушков назвал формирование альянса России и Китая ответом на экспансию Запада,text_2,0,class
213,25709,id,34735,id_1,34878,id_2,Крупный пожар вспыхнул на складе на северо-востоке Москвы,text_1,Крупный пожар в административном здании в центре Москвы потушен,text_2,0,class
214,25710,id,34879,id_1,34880,id_2,"Вагнер: Бразилия отложила покупку ""Панцирей"", но переговоры с РФ идут",text_1,"Бразилия продолжит переговоры о покупке у России ""Панцирей""",text_2,0,class
215,25711,id,34881,id_1,34882,id_2,Коалиция нанесла авиаудар по резиденции экс-президента Йемена Салеха,text_1,Коалиция нанесла удар по дому бывшего президента Йемена,text_2,0,class
217,25713,id,34885,id_1,34886,id_2,Избирательные участки открылись в Польше на выборах президента,text_1,В Польше начались выборы президента страны,text_2,0,class
221,25721,id,34866,id_1,34900,id_2,Футболист Пеле после успешной операции выписан из больницы,text_1,Пеле выписали из больницы,text_2,0,class
223,25723,id,34895,id_1,34901,id_2,СМИ: несколько человек погибли при стрельбе в Швейцарии,text_1,Стало известно число погибших в результате стрельбы в Швейцарии,text_2,0,class
225,25725,id,34903,id_1,34904,id_2,Пушков сравнил Обаму с призраком из другого мира,text_1,Пушков сравнил Обаму с призраком,text_2,0,class
226,25726,id,34905,id_1,34906,id_2,Лидер КНР прибыл с государственным визитом в Белоруссию,text_1,Глава КНР прибыл с визитом в Белоруссию,text_2,0,class
228,25728,id,34903,id_1,34908,id_2,Пушков сравнил Обаму с призраком из другого мира,text_1,"Пушков назвал Обаму ""призраком из другого мира""",text_2,0,class
230,25732,id,34910,id_1,34914,id_2,Канцлер ФРГ Ангела Меркель прибыла в Москву,text_1,Ангела Меркель прибыла в Москву,text_2,0,class
232,25734,id,34915,id_1,34916,id_2,Путин: в отношениях России и Германии есть проблемы,text_1,Путин призвал Меркель скорее разрешить проблемы между Россией и ФРГ,text_2,0,class
238,25742,id,34927,id_1,34928,id_2,Советник Авакова хочет запретить ношение на Украине георгиевской ленты,text_1,В МВД Украины решили законодательно запретить ношение георгиевских ленточек,text_2,0,class
240,25744,id,34930,id_1,34931,id_2,"На обслуживание военных городков в Крыму выделят 1,67 миллиарда рублей",text_1,"Минобороны потратит 1,67 миллиарда на военные городки в Крыму",text_2,0,class
241,25745,id,34932,id_1,34933,id_2,СК возбудил дела после бунта заключенных в башкирской колонии,text_1,В Башкирии по факту бунта в колонии возбуждены уголовные дела,text_2,0,class
242,25746,id,34934,id_1,34933,id_2,Шесть человек были госпитализированы из-за бунта в колонии Башкирии,text_1,В Башкирии по факту бунта в колонии возбуждены уголовные дела,text_2,0,class
245,25749,id,34927,id_1,34939,id_2,Советник Авакова хочет запретить ношение на Украине георгиевской ленты,text_1,Советник главы МВД Украины хочет запретить ношение георгиевских лент,text_2,0,class
246,25750,id,34929,id_1,34939,id_2,Глава МВД Украины обозвал идиотом депутата за георгиевскую ленточку,text_1,Советник главы МВД Украины хочет запретить ношение георгиевских лент,text_2,0,class
248,25755,id,34947,id_1,34948,id_2,В матче ЧМ со словаками Бобровский будет защищать ворота сборной РФ,text_1,Бобровский будет основным вратарем сборной России во всех оставшихся матчах ЧМ,text_2,0,class
249,25756,id,34940,id_1,34949,id_2,Путин призвал Киев снять экономическую блокаду Донбасса,text_1,"Пушилин: Киеву стоит снять блокаду Донбасса, а не предлагать гумпомощь",text_2,0,class
250,25757,id,34950,id_1,34951,id_2,УФСИН: массовый бунт заключенных в башкирской колонии подавлен,text_1,УФСИН сообщила о подавлении бунта в башкирской колонии,text_2,0,class
253,25760,id,34954,id_1,34955,id_2,СМИ: не меньше пяти человек погибли при стрельбе в Швейцарии,text_1,Пять человек погибли в результате ДТП в Болгарии,text_2,0,class
254,25761,id,34956,id_1,34957,id_2,Лавров и Керри договорились обсудить шаги по урегулированию конфликтов,text_1,Лавров и Керри договорились о встрече в ближайшее время,text_2,0,class
261,25769,id,34965,id_1,34966,id_2,"МИД ИРИ: Тегеран осудил действия коалиции в Йемене, назвав геноцидом",text_1,МИД Ирана назвал геноцидом авиаудары по Йемену,text_2,0,class
263,25771,id,34969,id_1,34970,id_2,Более 100 тысяч жителей йеменской Саады покинули дома из-за авиаударов,text_1,Более 100 тысяч йеменцев из-за авиаударов покинули провинцию Саада,text_2,0,class
265,25773,id,34973,id_1,34974,id_2,Задержан 4-й подозреваемый в убийстве 2 полицейских в штате Миссисипи,text_1,В штате Миссисипи задержаны подозреваемые в убийстве двух полицейских,text_2,0,class
267,25775,id,34975,id_1,34976,id_2,Вооруженные группировки в ЦАР подписали соглашение о разоружении,text_1,Вооруженные группировки в ЦАР договорились о прекращении конфликта,text_2,0,class
269,25777,id,34979,id_1,34978,id_2,В США несколько тонн масла из трансформатора на АЭС попало в реку,text_1,В США после аварии на АЭС нефтепродукты попали в реку Гудзон,text_2,0,class
271,25779,id,34982,id_1,34981,id_2,Марокканский истребитель F-16 из состава ВВС коалиции пропал в Йемене,text_1,Истребитель ВВС Марокко из аравийской коалиции сбит в Йемене,text_2,0,class
272,25780,id,34983,id_1,34984,id_2,"Власти: два филиппинца стали первыми жертвами тайфуна ""Додонг""",text_1,"Жертвами тайфуна ""Додонг"" на Филиппинах стали два человека",text_2,0,class
277,25785,id,34990,id_1,34991,id_2,Президент Франции Франсуа Олланд прибыл с официальным визитом на Кубу,text_1,Олланд прибыл на Кубу с визитом,text_2,0,class
278,25786,id,34992,id_1,34993,id_2,Не менее 400 мигрантов спасены у берегов Индонезии с дрейфующей лодки,text_1,У берегов Индонезии с дрейфующей лодки спасены сотни мигрантов,text_2,0,class
279,25787,id,34994,id_1,34995,id_2,Непал не разрешил пролет трех британских военных вертолетов,text_1,Непал запретил пролет трем военным вертолетам Великобритании,text_2,0,class
284,25793,id,35004,id_1,35005,id_2,"Гражданка России приговорена в Индонезии к 16,5 года тюрьмы",text_1,Россиянка приговорена к 16 годам тюрьмы за ввоз наркотиков на Бали,text_2,0,class
285,25795,id,35005,id_1,35008,id_2,Россиянка приговорена к 16 годам тюрьмы за ввоз наркотиков на Бали,text_1,"Россиянку приговорили в Индонезии к 16,5 года тюрьмы за ввоз наркотиков",text_2,0,class
287,25797,id,35009,id_1,35010,id_2,"Турецкий сухогруз подвергся обстрелу у берегов Ливии, есть погибший",text_1,Турецкий сухогруз обстреляли у берегов Ливии,text_2,0,class
302,25816,id,35039,id_1,35040,id_2,"В Москве задержан подросток, сбросивший кресло на голову пенсионера",text_1,В гибели пенсионера в Москве заподозрили подростка,text_2,0,class
305,25819,id,35044,id_1,35045,id_2,День республики в Донецке отметили 43 тысячи человек,text_1,На улицы Донецка в День Республики вышли 43 тысячи человек,text_2,0,class
307,25821,id,35046,id_1,35047,id_2,"Гендиректор ФК ""Спартак"" Асхабадзе покинет клуб по окончании сезона",text_1,Гендиректор «Спартака» покинет клуб,text_2,0,class
308,25822,id,35041,id_1,35048,id_2,Грецию пригласили стать членом банка развития БРИКС,text_1,Россия пригласила Грецию в Банк развития БРИКС,text_2,0,class
309,25823,id,35049,id_1,35050,id_2,"Жан-Мари Ле Пен объявил о создании нового движения, пишут СМИ",text_1,Жан-Мари Ле Пен объявил о создании нового политического движения,text_2,0,class
313,25829,id,35059,id_1,35060,id_2,"Боксер Бойцов, находящийся в коме, пытался уйти от преследования",text_1,Боксер Денис Бойцов спасался в тоннеле от преследования,text_2,0,class
317,25833,id,35066,id_1,35067,id_2,Картина Пабло Пикассо продана в Нью-Йорке за рекордные $179 млн,text_1,Картина Пикассо ушла с молотка по рекордной цене,text_2,0,class
318,25834,id,35068,id_1,35067,id_2,Картина Пикассо продана в США за рекордные 180 миллионов долларов,text_1,Картина Пикассо ушла с молотка по рекордной цене,text_2,0,class
323,25840,id,35078,id_1,35077,id_2,"Лужков считает, что экономика России ""антинародна"" и ""нежизнеспособна""",text_1,Лужков назвал российскую экономику «антинародной»,text_2,0,class
324,25841,id,35079,id_1,35080,id_2,Генпрокуратура начала блокировать сайты по продаже запрещенной еды,text_1,Генпрокуратура закрыла ряд сайтов за продажу сыра,text_2,0,class
325,25842,id,35081,id_1,35082,id_2,Две семьи редких обезьян похищены из зоопарка во Франции,text_1,Из зоопарка во Франции похищены 17 редких обезьян,text_2,0,class
329,25847,id,35090,id_1,35091,id_2,Ъ: российские ученые лишились зарубежных изданий из-за падения рубля,text_1,Российские ученые лишатся доступа к зарубежным научным изданиям,text_2,0,class
332,25850,id,35094,id_1,35092,id_2,Путин встретится с Керри в Сочи во вторник,text_1,Кремль подтвердил встречу Путина и Керри,text_2,0,class
339,25859,id,35093,id_1,35099,id_2,Песков: повестка встречи Путина с Керри широкая,text_1,Песков анонсировал встречу Путина и Керри в Сочи,text_2,0,class
340,25860,id,35094,id_1,35099,id_2,Путин встретится с Керри в Сочи во вторник,text_1,Песков анонсировал встречу Путина и Керри в Сочи,text_2,0,class
346,25866,id,35104,id_1,35107,id_2,В Непале зафиксировано новое землетрясение силой 7 баллов,text_1,"В Непале произошло землетрясение магнитудой 7,4",text_2,0,class
348,25868,id,35108,id_1,35106,id_2,СМИ: Минфин России предлагает снизить пошлину на нефть до нуля,text_1,В Минфине предложили обнулить пошлину на нефть к 2025 году,text_2,0,class
349,25869,id,35103,id_1,35107,id_2,"В Непале произошло новое землетрясение магнитудой 7,0",text_1,"В Непале произошло землетрясение магнитудой 7,4",text_2,0,class
351,25871,id,35107,id_1,35109,id_2,"В Непале произошло землетрясение магнитудой 7,4",text_1,"В Непале произошло новое сильное землетрясения магнитудой 7,4",text_2,0,class
353,25873,id,35109,id_1,35110,id_2,"В Непале произошло новое сильное землетрясения магнитудой 7,4",text_1,"Сейсмологи уточнили магнитуду нового землетрясения в Непале - 7,4",text_2,0,class
354,25875,id,35103,id_1,35109,id_2,"В Непале произошло новое землетрясение магнитудой 7,0",text_1,"В Непале произошло новое сильное землетрясения магнитудой 7,4",text_2,0,class
356,25877,id,35113,id_1,35114,id_2,В Петербург и Москву опаздывают поезда из-за сошедшего с рельс локомотива в Твери,text_1,Сорок поездов задерживаются из-за схода локомотива в Твери,text_2,0,class
357,25878,id,35115,id_1,35116,id_2,Порошенко уволил посла Украины в Белоруссии,text_1,Порошенко уволил посла в Белоруссии,text_2,0,class
375,25897,id,35134,id_1,35135,id_2,Мизулина: дети в РФ проявляют повышенный интерес к сайтам об оружии,text_1,Мизулина рассказала о повышенном интересе российских детей к оружию,text_2,0,class
377,25899,id,35138,id_1,35137,id_2,Страны ООН раскритиковали ситуацию с правами человека в США,text_1,В ООН раскритиковали отношение к правам человека в США,text_2,0,class
378,25900,id,35139,id_1,35140,id_2,МЧС России открыло горячую линию из-за ДТП с автобусом в Египте,text_1,"В связи с гибелью российского туриста в Египте открыли ""горячую линию""",text_2,0,class
380,25902,id,35143,id_1,35144,id_2,Верховная рада отменила военный сбор при обмене валюты,text_1,На Украине отменен военный сбор при обмене валюты,text_2,0,class
381,25903,id,35145,id_1,35146,id_2,"ДНР и ЛНР направили ОБСЕ, Москве и Киеву условия по выборам в Донбассе",text_1,В ЛНР и ДНР назвали условия проведения выборов,text_2,0,class
382,25904,id,35147,id_1,35146,id_2,ДНР и ЛНР: выборы в Донбассе возможны лишь после отмены спецоперации,text_1,В ЛНР и ДНР назвали условия проведения выборов,text_2,0,class
385,25908,id,35143,id_1,35154,id_2,Верховная рада отменила военный сбор при обмене валюты,text_1,Украина отменила военный сбор при обмене валюты,text_2,0,class
386,25909,id,35155,id_1,35156,id_2,Число жертв нового землетрясения в Непале возросло до 36 человек,text_1,Жертвами нового землетрясения в Непале стали 36 человек,text_2,0,class
395,25919,id,35164,id_1,35165,id_2,"ВОЗ рассчитывает, что вспышка Эболы в Сьерра-Леоне будет краткой",text_1,ВОЗ: Вспышка Эболы в Сьерра-Леоне завершится через три месяца,text_2,0,class
397,25922,id,35162,id_1,35168,id_2,"Лавров подарил Керри помидоры, картошку и футболку с символикой Победы",text_1,Лавров подарил Керри овощи и футболку,text_2,0,class
404,25930,id,35174,id_1,35178,id_2,Путин проводит в Сочи встречу с Керри и Лавровым,text_1,В Сочи началась встреча Путина и Керри,text_2,0,class
412,25939,id,35180,id_1,35181,id_2,"Имущество фонда ""Крым"" Мустафы Джемилева будет передано ДУМ Крыма",text_1,Имущество фонда Мустафы Джемилева отдадут крымским мусульманам,text_2,0,class
413,25941,id,35172,id_1,35184,id_2,Шкиряк ушел в отставку после скандала с эвакуацией украинцев из Непала,text_1,Глава украинского МЧС уволился после скандалов с эвакуацией из Непала,text_2,0,class
414,25942,id,35185,id_1,35186,id_2,"Прокурор просит для борца Емельяненко 5 лет колонии, сообщил адвокат",text_1,Александру Емельяненко грозят 5 лет колонии и штраф в 60 тысяч,text_2,0,class
415,25943,id,35149,id_1,35187,id_2,"Путин поблагодарил Шойгу и всех, кто принимал участие в параде Победы",text_1,Владимир Путин поблагодарил Сергея Шойгу за Парад Победы,text_2,0,class
418,25946,id,35190,id_1,35191,id_2,Россия была права: разговоры о сланцевом газе в Европе оказались пустышкой,text_1,"Bloomberg: Россия была права, сланцевая революция в Европе - пустышка",text_2,0,class
421,25950,id,35195,id_1,35196,id_2,Порошенко попросил главу Facebook открыть на Украине представительство,text_1,Порошенко попросил Цукерберга открыть офис Facebook на Украине,text_2,0,class
426,25956,id,35201,id_1,35205,id_2,"Роскосмос назвал причины аварии ""Прогресса""",text_1,Роскосмос назвал причину потери «Прогресса»,text_2,0,class
429,25959,id,35208,id_1,35209,id_2,"Продажи АвтоВАЗа в России в апреле сократились на 38,3%",text_1,Продажи «АвтоВАЗа» в России рухнули на треть,text_2,0,class
438,25968,id,35219,id_1,35220,id_2,Истребитель США разбился после взлета с авианосца в Персидском заливе,text_1,Американский истребитель упал в Персидский залив,text_2,0,class
439,25969,id,35211,id_1,35221,id_2,Личный взнос на накопительную пенсию будут платить из зарплаты,text_1,Минтруд вернулся к идее ввести личный взнос на накопительную пенсию,text_2,0,class
441,25971,id,35195,id_1,35222,id_2,Порошенко попросил главу Facebook открыть на Украине представительство,text_1,Порошенко попросил Цукерберга открыть офис Facebook на Украине,text_2,0,class
443,25973,id,35225,id_1,35224,id_2,Военный вертолет США пропал в Непале,text_1,В Непале пропал вертолет США с 8 военными на борту,text_2,0,class
456,25986,id,35219,id_1,35233,id_2,Истребитель США разбился после взлета с авианосца в Персидском заливе,text_1,В Персидском заливе потерпел крушение американский истребитель,text_2,0,class
460,25991,id,35236,id_1,35241,id_2,Керри: попытки Киева отбить аэропорт Донецка были бы деструктивны,text_1,Керри предостерег Порошенко от попытки отбить у ДНР аэропорт Донецка,text_2,0,class
468,25999,id,35247,id_1,35248,id_2,Доллар упал ниже 50 рублей впервые с 6 мая,text_1,Курс доллара опустился ниже 50 рублей,text_2,0,class
473,26004,id,35247,id_1,35255,id_2,Доллар упал ниже 50 рублей впервые с 6 мая,text_1,Курс доллара опустился ниже 50 рублей,text_2,0,class
476,26007,id,35256,id_1,35257,id_2,"Полиция: в тоннеле метро, где нашли Бойцова, не было видеокамер",text_1,"В тоннеле, где был найден боксер Денис Бойцов, нет камер",text_2,0,class
478,26009,id,35260,id_1,35261,id_2,"Землетрясение в Японии не привело к новым сбоям на АЭС ""Фукусима-1""",text_1,"Землетрясение в Японии не вызвало сбоев в работе АЭС ""Фукусима-1""",text_2,0,class
488,26020,id,35277,id_1,35278,id_2,"NBC: поезд Вашингтон - Нью-Йорк сошел с рельсов, 50 человек пострадали",text_1,Не менее 50 человек пострадали в результате крушения поезда в США,text_2,0,class
489,26021,id,35278,id_1,35279,id_2,Не менее 50 человек пострадали в результате крушения поезда в США,text_1,Десятки пассажиров пострадали при крушении поезда в США,text_2,0,class
490,26022,id,35280,id_1,35281,id_2,Вооруженные люди сбили легкомоторный самолет в Мексике,text_1,Неизвестные сбили легкомоторный самолет в Мексике,text_2,0,class
493,26025,id,35283,id_1,35284,id_2,Не менее пяти человек погибло при крушении поезда под Филадельфией,text_1,Жертвами крушения поезда в США стали пять человек,text_2,0,class
501,26033,id,35289,id_1,35290,id_2,МИД России подпишет Декларацию по промыслу в Арктике,text_1,РФ подпишет Декларацию о запрете бесконтрольного рыболовства в Арктике,text_2,0,class
502,26034,id,35284,id_1,35291,id_2,Жертвами крушения поезда в США стали пять человек,text_1,Жертвами крушения пассажирского поезда в США стали не менее пяти человек,text_2,0,class
504,26036,id,35283,id_1,35291,id_2,Не менее пяти человек погибло при крушении поезда под Филадельфией,text_1,Жертвами крушения пассажирского поезда в США стали не менее пяти человек,text_2,0,class
505,26037,id,35286,id_1,35292,id_2,Число погибших при стрельбе в военном лагере в Сеуле возросло до двух,text_1,В результате стрельбы в военном лагере в Сеуле погибли два человека,text_2,0,class
510,26042,id,35296,id_1,35297,id_2,Установлен порядок контроля за ценами на лекарства в регионах,text_1,Медведев утвердил порядок госконтроля цен на лекарства,text_2,0,class
513,26047,id,35304,id_1,35305,id_2,Письма принца Чарльза к парламенту будут опубликованы в Великобритании,text_1,В Великобритании опубликуют секретные письма принца Чарльза,text_2,0,class
